"Molecular.Weight..g.mol..","XLogP3","Hydrogen.Bond.Donor.Count","Hydrogen.Bond.Acceptor.Count","Rotatable.Bond.Count","Topological.Polar.Surface.Area.A.2.","Heavy.Atom.Count","Complexity","logS","Ratio..g.ml.","Name","Ratio..g.ml..1","Name.1","Ratio..g.ml..2","Name.2","Ratio..g.ml..3","Name.3","Ratio..g.ml..4","X"
421.89,2.8,2,6,7,76.8,29,521,-2.7,0.1,1,0.74,1,0.4,1,0.5,1,0.74,2
413.49,0.9,4,8,9,148,28,498,-3.4,0.2,6,6,2,1.35,5,1.5,0,0,35
513.5,5,2,3,7,43.8,35,623,-5.7,1.51,3,17.5,1,3.5,0,0,0,0,11.1
507.44,-0.3,3,7,5,52,32,592,-5.2,0.03,2,1,1,10,0,0,0,0,50.3
513.5,5,2,3,7,43.8,35,623,-5.7,0.91,9,12,1,0.1,7,0.1,0,0,24.5
458.93,1.2,1,6,8,97.9,30,660,-5.3,0.124,13,3,2,7.5,0,0,0,0,62.67
287.36,2.2,2,3,5,57.4,21,375,-3.2,0.8,4,6,4,15,0,0,0,0,28
351.4,3,2,7,2,136,23,628,-3.4,0.027,5,0.108,0,0,3,0.135,0,0,53
507.44,-0.3,3,7,5,52,32,592,-5.2,0.03,7,1,1,10,0,0,0,0,15
513.5,5,2,3,7,43.8,35,623,-5.7,1.51,3,12.5,1,3.5,8,2,0,0,8.8
513.5,5,2,3,7,43.8,35,623,-5.7,0.91,9,12,1,0.1,8,2,0,0,30.4
309.43,3.2,0,3,0,48.6,22,476,-4.6,0.31,10,1.63,1,0.81,0,0,0,0,38.8
194.19,-0.1,0,3,0,58.4,14,293,-0.97,1.67,3,12.48,3,2.5,2,0.33,0,0,14.85
351.4,3,2,7,2,136,23,628,-3.4,0.027,5,0.108,0,0,3,0.135,0,0,53.7
413.49,0.9,4,8,9,148,28,498,-3.4,0.2,6,9,2,1.35,5,1,0,0,39
