"Ratio..g.ml.","Molecular.Weight..g.mol..","XLogP3","Hydrogen.Bond.Donor.Count","Hydrogen.Bond.Acceptor.Count","Rotatable.Bond.Count","Topological.Polar.Surface.Area.A.2.","Heavy.Atom.Count","Complexity","logS","Name","Ratio..g.ml..1","Name.1","Ratio..g.ml..2","Name.2","Ratio..g.ml..3","extraY"
0.00420673076923077,0.821972631035373,0.584905660377358,0.666666666666667,0.8,0.777777777777778,0.520647773279352,0.772727272727273,0.74618320610687,0.572614107883817,0.181818181818182,0.0134897360703812,0.333333333333333,0.0232456140350877,0.25,0.0328947368421053,0.06
0.00420673076923077,0.821972631035373,0.584905660377358,0.666666666666667,0.8,0.777777777777778,0.520647773279352,0.772727272727273,0.74618320610687,0.572614107883817,0.181818181818182,0.0146627565982405,0.666666666666667,0.012280701754386,0.25,0.0328947368421053,0.09
0.174278846153846,0.0870772011360702,0.0377358490566038,0,0.2,0,0.37165991902834,0.0909090909090909,0.311068702290076,0.981327800829876,0.0909090909090909,0.620527859237537,0.333333333333333,0.0385964912280702,0,0,0.1048
0.00480769230769231,0.336270333075135,0.69811320754717,0,0,0.111111111111111,0,0.363636363636364,0.458015267175573,0.24896265560166,0.181818181818182,0.0563049853372434,1,0.0175438596491228,0,0,0.44
0.0462740384615385,0.387780790085205,0.471698113207547,0.666666666666667,0.2,0.555555555555556,0.363562753036437,0.409090909090909,0.467557251908397,0.518672199170124,0.272727272727273,0.325513196480938,1,0.75,0,0,0.3
0.1484375,0.594468112574232,0.622641509433962,0.666666666666667,1,0.222222222222222,1,0.5,0.950381679389313,0.477178423236515,0.363636363636364,0.560117302052786,0,0,0.75,0.822368421052632,0.53
1,0.413729666924864,0.226415094339623,0.666666666666667,0.4,0.666666666666667,0.494736842105263,0.363636363636364,0.524809160305344,0.477178423236515,0.181818181818182,0.208211143695015,0.666666666666667,0.0592105263157895,0.5,0.0328947368421053,0.46
1,0.413729666924864,0.226415094339623,0.666666666666667,0.4,0.666666666666667,0.494736842105263,0.363636363636364,0.524809160305344,0.477178423236515,0.454545454545455,0.149560117302053,0.666666666666667,0.0592105263157895,0.5,0.0986842105263158,0.42
0.102764423076923,0,0,1,0.2,0.333333333333333,0.323886639676113,0,0,1,0.181818181818182,0.356011730205279,0.666666666666667,0.0315789473684211,0,0,0.15
0,0.862735605473793,0.905660377358491,0.333333333333333,1,0.555555555555556,0.319838056680162,0.818181818181818,0.881679389312977,0.103734439834025,0,0.0909090909090909,0.333333333333333,0.442105263157895,0,0,0.24
0.0402644230769231,0.323231345210431,0.415094339622641,0.666666666666667,0.4,1,0.309311740890688,0.318181818181818,0.162213740458015,0.601659751037344,0.545454545454545,0.0205278592375367,1,0.0263157894736842,0,0,0.6433
0.0889423076923077,1,1,0.333333333333333,0.2,0.777777777777778,0.253441295546559,1,0.940839694656489,0,0.0909090909090909,1,0.333333333333333,0.153508771929825,0,0,0.146
0.0528846153846154,1,1,0.333333333333333,0.2,0.777777777777778,0.253441295546559,1,0.940839694656489,0,0.636363636363636,0.560117302052786,0.333333333333333,0.0043859649122807,0,0,0.307
0.0528846153846154,1,1,0.333333333333333,0.2,0.777777777777778,0.253441295546559,1,0.940839694656489,0,0.727272727272727,0.67741935483871,0.333333333333333,0.0043859649122807,0,0,0.268
0.0264423076923077,0.459011102504518,0.660377358490566,0,0.2,0,0.292307692307692,0.454545454545455,0.66030534351145,0.228215767634855,0.909090909090909,0.06158357771261,0.333333333333333,0.0219298245614035,0,0,0.496
0.0354567307692308,0.870578363026078,0.283018867924528,0.666666666666667,0.8,0.888888888888889,0.668825910931174,0.772727272727273,1,0.08298755186722,0.818181818181818,0.06158357771261,0.666666666666667,0.328947368421053,0,0,0.6
0.0582932692307692,0.468725793958172,0.584905660377358,0.333333333333333,0.6,0.111111111111111,0.353846153846154,0.454545454545455,0.788167938931298,0.45643153526971,0,0.00293255131964809,0.333333333333333,0.00219298245614035,0,0,0.23
0.0582932692307692,0.468725793958172,0.584905660377358,0.333333333333333,0.6,0.111111111111111,0.353846153846154,0.454545454545455,0.788167938931298,0.45643153526971,0,0.032258064516129,1,0.0043859649122807,0,0,0.14
0.0582932692307692,0.468725793958172,0.584905660377358,0.333333333333333,0.6,0.111111111111111,0.353846153846154,0.454545454545455,0.788167938931298,0.45643153526971,1,0.00293255131964809,0.666666666666667,0.0043859649122807,0,0,0.26
0.0582932692307692,0.468725793958172,0.584905660377358,0.333333333333333,0.6,0.111111111111111,0.353846153846154,0.454545454545455,0.788167938931298,0.45643153526971,1,0.032258064516129,1,0.0043859649122807,0,0,0.44
