"Molecular Weight?g/mol?","Topological Polar Surface Area","Rotatable Bond Count","Hydrogen Bond Donor Count","Hydrogen Bond Acceptor Count","Heavy Atom Count","Complexity","Covalently-Bonded Unit Count","Melting Point","y"
0.215929488303029,0.147718865598027,0.181818181818182,0,0.12,0.227848101265823,0.207481513701609,0.5,0.418667651767024,0.823970037453184
0.203440195658095,0.250308261405672,0.318181818181818,0.142857142857143,0.28,0.189873417721519,0.121357111787734,0,0.544883635020318,0.760299625468165
0.142235021612454,0.125277435265105,0.272727272727273,0.214285714285714,0.08,0.151898734177215,0.094388864723793,0,0.449452037926364,0.786516853932584
0.0809642327152055,0.140813810110974,0.136363636363636,0.0714285714285714,0.12,0.0886075949367089,0.0787298825576338,0,0.33862824775274,0.681647940074906
0.271793793194571,0.217755856966708,0.0909090909090909,0.214285714285714,0.2,0.278481012658228,0.336668116572423,0,0.537187538480483,0.797752808988764
0.440339471467876,0.491985203452528,0.227272727272727,0.5,0.44,0.430379746835443,0.411483253588517,0.5,0.63107991626647,0.0299625468164794
0.693883347579846,0.541307028360049,0.636363636363636,0.285714285714286,0.64,0.683544303797468,0.617224880382775,0,0.511020810245044,0.543071161048689
0.590388053423073,0.413070283600493,0.363636363636364,0.285714285714286,0.44,0.594936708860759,0.220530665506742,1,0.458687353774166,0.820224719101123
0.184827149807695,0.316892725030826,0.0454545454545455,0.142857142857143,0.2,0.139240506329114,0.217920835145716,0,0.978173870213028,0.0599250936329589
0.361729283908272,0.405672009864365,0.545454545454545,0.285714285714286,0.36,0.367088607594937,0.264027838190518,0.5,0.365564585642162,0.464419475655431
